date,open,high,low,close,adj_close,volume,source
2001-04-03,35.75,35.79999923706055,34.70000076293945,34.75,21.453571319580078,31900,yahoo
2001-04-04,34.75,34.9900016784668,30.760000228881836,32.0,19.75579833984375,97400,yahoo
2001-04-05,34.0,34.5,33.540000915527344,33.540000915527344,20.706552505493164,334400,yahoo
2001-04-06,33.5,34.25,33.13999938964844,33.20000076293945,20.49664878845215,115900,yahoo
2001-04-09,33.439998626708984,34.29999923706055,33.439998626708984,33.70000076293945,20.80533218383789,72400,yahoo
2001-04-10,34.25,34.79999923706055,34.0,34.79999923706055,21.484426498413086,96300,yahoo
2001-04-11,35.25,36.75,35.25,36.400001525878906,22.472227096557617,46500,yahoo
2001-04-12,36.20000076293945,36.599998474121094,34.220001220703125,34.220001220703125,21.126359939575195,69700,yahoo
2001-04-16,34.04999923706055,34.04999923706055,31.5,31.81999969482422,19.644683837890625,159500,yahoo
2001-04-17,31.81999969482422,33.20000076293945,31.729999542236328,33.0,20.373165130615234,247100,yahoo
2001-04-18,33.25,34.400001525878906,33.15999984741211,34.400001525878906,21.23748779296875,258300,yahoo
2001-04-19,34.25,34.47999954223633,34.0,34.099998474121094,21.05227279663086,17500,yahoo
2001-04-20,34.0,34.0,31.950000762939453,32.29999923706055,19.941011428833008,60800,yahoo
2001-04-23,32.25,32.25,31.209999084472656,32.0,19.75579833984375,72100,yahoo
2001-04-24,32.0,33.66999816894531,32.0,33.400001525878906,20.6201171875,78400,yahoo
2001-04-25,33.29999923706055,33.91999816894531,33.2400016784668,33.75,20.836200714111328,47800,yahoo
2001-04-26,33.900001525878906,34.5,32.400001525878906,32.400001525878906,20.002750396728516,28100,yahoo
2001-04-27,32.25,33.5,32.25,33.5,20.68185806274414,23700,yahoo
